id_aluno,aluno,curso,periodo,nota_final,faltas,horas_estudo_semana,participacao_aula,participou_monitoria,trabalha_atualmente,horas_trabalho_semana,horas_sono_noite
33,Marcelo Pinto,Economia,3º,7.7,2,5.6,3,Sim,Sim,10,5.5
34,Natália Rezende,Economia,4º,8.3,3,9.0,2,Não,Sim,25,5.2
35,Otávio Medeiros,Economia,3º,7.2,4,5.3,3,Não,Sim,40,8.1
36,Paula Tavares,Administração,3º,4.7,15,4.0,1,Não,Não,0,8.3
37,Renato Andrade,Administração,3º,4.9,7,2.0,4,Não,Sim,15,7.4
38,Sofia Farias,Administração,4º,6.7,7,5.5,3,Não,Sim,15,6.6
39,Thiago Nogueira,Administração,4º,9.1,0,6.9,3,Sim,Sim,25,7.6
40,Valentina Machado,Economia,3º,10.0,1,8.6,4,Sim,Sim,10,7.8
41,Arthur Borges,Administração,4º,6.8,5,6.3,5,Não,Não,0,8.8
42,Beatriz Coelho,Administração,4º,9.3,0,6.4,3,Não,Sim,20,7.0
43,Caio Duarte,Administração,4º,8.4,2,9.0,2,Não,Sim,20,6.7
44,Débora Azevedo,Economia,4º,6.0,3,6.0,3,Não,Sim,10,7.5
45,Enzo Peixoto,Administração,4º,9.0,2,8.6,4,Sim,Não,0,7.4
46,Fernanda Matos,Economia,3º,7.3,0,4.2,4,Não,Não,0,5.9
47,Gustavo Neves,Administração,4º,4.6,8,2.4,3,Não,Sim,15,5.2
48,Helena Batista,Administração,3º,4.4,7,3.8,1,Não,Sim,15,7.4
49,Igor Fonseca,Economia,3º,6.8,4,5.9,2,Sim,Sim,20,8.4
50,Laura Queiroz,Administração,3º,5.0,11,4.3,4,Não,Não,0,6.1
51,Mateus Moraes,Economia,3º,5.7,7,4.3,3,Não,Não,0,6.3
52,Nicole Aguiar,Administração,3º,5.4,6,3.2,1,Não,Sim,20,7.0
53,Paulo Vasconcelos,Economia,4º,6.9,5,7.5,1,Sim,Sim,25,6.1
54,Rebeca Cavalcante,Administração,3º,8.4,4,4.7,3,Não,Sim,15,6.4
55,Rodrigo Brito,Economia,4º,9.0,2,9.2,5,Não,Não,0,8.8
56,Sara Sales,Economia,4º,5.9,9,6.2,4,Não,Não,0,8.9
57,Tomás Siqueira,Economia,3º,6.7,3,2.8,1,Sim,Sim,30,8.8
58,Vitória Paiva,Economia,3º,6.6,3,2.8,3,Não,Sim,25,8.4
59,Alexandre Leal,Administração,4º,7.6,5,4.9,5,Sim,Não,0,6.9
60,Bianca Assis,Administração,4º,5.0,5,1.2,5,Sim,Sim,10,8.3
61,César Lopes,Economia,3º,8.2,1,4.2,5,Não,Não,0,7.0
62,Denise Miranda,Economia,4º,6.0,8,4.1,4,Não,Não,0,5.7
63,Emanuel Guimarães,Administração,4º,7.0,3,3.3,3,Sim,Sim,10,8.2
64,Flávia Braga,Economia,3º,5.2,7,3.5,1,Sim,Sim,10,9.0
65,Heitor Pacheco,Economia,4º,6.8,7,7.3,4,Não,Sim,15,5.6
66,Lívia Barros,Economia,3º,5.4,4,2.2,4,Não,Sim,30,6.5
67,Murilo Figueiredo,Economia,3º,9.1,1,6.1,5,Não,Sim,40,5.5
68,Priscila Amorim,Economia,3º,5.1,7,5.1,4,Não,Sim,25,6.5
69,Raul Bezerra,Administração,4º,5.2,9,4.4,2,Sim,Não,0,7.6
70,Stella Rezende,Administração,3º,4.8,9,2.2,3,Sim,Sim,15,6.2
71,André Maia,Administração,4º,5.8,8,3.2,4,Sim,Sim,20,5.6
72,Bárbara Torres,Economia,3º,7.1,6,6.9,3,Não,Não,0,5.4
73,Cristiano Valente,Economia,4º,9.1,5,9.0,5,Sim,Sim,10,8.3
74,Elaine Cordeiro,Economia,4º,4.8,7,1.5,3,Não,Não,0,7.8
75,Fábio Ramos,Economia,4º,8.2,3,9.6,4,Não,Sim,30,5.2
76,Letícia Antunes,Economia,3º,5.8,5,1.6,4,Não,Sim,40,5.5
77,Miguel Ferreira,Economia,4º,10.0,1,9.5,4,Sim,Não,0,8.8
78,Patrícia Pimentel,Administração,3º,7.9,3,9.4,2,Não,Não,0,5.4
79,Ricardo Marques,Administração,4º,6.8,6,4.2,5,Não,Sim,20,6.6
80,Yasmin Prado,Administração,4º,5.0,7,3.6,4,Não,Sim,25,8.6
81,Adriana Melo,Administração,4º,4.5,8,1.6,2,Sim,Sim,40,9.0
82,Afonso Reis,Administração,,4.8,7,3.0,1,Sim,Sim,20,7.3
83,Alice Moura,Administração,3º,8.6,1,9.1,2,Não,Não,0,7.7
84,Álvaro Cunha,Administração,3º,,0,9.2,5,Não,Não,0,7.4
85,Augusto Freire,Economia,4º,7.6,0,4.6,2,Não,Não,0,6.4
86,Brenda Duarte,Economia,3º,,0,9.0,5,Não,Não,0,6.3
87,Breno Matos,Economia,,7.9,5,9.2,5,Não,Não,0,8.2
88,Cecília Braga,Economia,4º,4.3,9,3.2,2,Não,Sim,40,6.8
89,Cláudio Nunes,,3º,6.3,7,3.5,3,Não,Sim,20,6.7
90,Daiane Porto,Economia,4º,9.6,3,6.4,4,Não,Sim,25,6.9
91,Davi Salles,Administração,4º,6.4,3,6.4,4,Não,Sim,25,8.9
92,Douglas Amaral,Administração,4º,,32,3.0,4,Sim,Sim,25,5.1
93,Érica Xavier,Administração,4º,7.8,3,,4,Sim,Sim,10,5.7
94,Esther Moraes,Economia,3º,6.2,0,1.3,4,Não,Sim,15,6.2
95,Everton Luz,Economia,4º,5.1,5,1.4,2,Sim,Não,0,
96,Gabriel Vianna,Administração,3º,6.6,6,3.9,4,Sim,Não,0,6.0
97,Geovana Macedo,Economia,3º,4.7,11,,2,Não,Não,0,5.2
98,Heloísa Rezende,Administração,3º,4.7,15,4.0,1,Não,Não,0,8.3
99,Ícaro Lopes,Administração,,6.7,7,5.5,3,Não,Sim,15,6.6
100,Jaqueline Ramos,Administração,3º,6.2,3,4.0,4,Sim,Sim,10,7.8
101,Jéssica Prado,Administração,4º,9.3,0,21.0,3,Não,Sim,20,7.0
102,Jonas Barros,Administração,3º,7.5,4,8.2,2,Não,Não,0,7.5
103,José Maia,Economia,3º,7.3,0,4.2,4,Não,Não,0,5.9
104,Kelly Pires,Administração,3º,4.4,7,3.8,1,Não,Sim,15,7.4
105,Leonardo Antunes,Administração,3º,5.0,,4.3,4,Não,Não,0,6.1
106,Lorena Bastos,Administração,4º,5.7,10,3.0,4,Não,Sim,25,7.9
107,Luana Falcão,Administração,3º,,6,8.0,2,Sim,,0,7.6
108,Manuela Viana,Economia,3º,8.8,6,8.5,5,Sim,Sim,10,5.6
109,Márcio Dantas,Administração,4º,10.0,1,9.7,4,Não,,70,6.6
110,Maria Freitas,Administração,3º,4.8,,1.6,3,Sim,,20,8.0
111,Maurício Castro,Economia,4º,5.4,7,2.5,5,Sim,Sim,25,8.3
112,Mayara Campos,Administração,3º,2.5,5,2.4,1,Não,Não,0,
113,Milena Peixoto,Economia,3º,5.4,6,6.0,1,Não,Não,,7.3
114,Nádia Azevedo,,3º,4.8,5,2.2,4,Não,Sim,40,8.3
115,Nathan Brito,Economia,3º,8.4,5,10.0,1,Sim,Não,0,7.0
116,Nelson Queiroz,Economia,3º,7.1,6,,,Não,Não,0,5.4
117,Noemi Teles,Economia,4º,4.8,7,1.5,,Não,Não,0,7.8
118,Pâmela Coelho,Administração,3º,5.3,3,2.5,4,Não,Sim,40,3.0
119,Pietro Leal,Administração,3º,7.9,3,9.4,2,Não,Não,0,5.4
120,Rafael Miranda,Economia,3º,4.8,13,4.3,4,Não,Sim,25,8.6
121,Raíssa Farias,Economia,4º,6.0,6,5.4,4,Sim,Não,0,6.4
122,Ramon Batista,Economia,3º,6.9,3,,1,Não,Não,0,5.0
123,Roberta Gomes,Administração,3º,6.2,6,,3,Não,Não,,8.1
124,Ruan Cardoso,Economia,3º,3.6,4,2.7,4,Não,,10,5.8
125,Silvana Neves,Economia,4º,6.4,6,4.9,1,Não,Não,0,7.8
126,Simone Fontes,Administração,4º,2.0,38,9.7,,Não,Não,0,8.2
127,Tainá Carvalho,Administração,3º,5.3,11,3.0,4,Sim,Sim,25,5.9
128,Talita Mendes,Administração,3º,7.8,3,9.0,2,,Sim,25,
129,Vagner Correia,Economia,3º,7.9,7,8.0,3,Sim,Não,0,5.0
130,Vanessa Rocha,Economia,4º,5.3,6,4.8,1,Não,Não,,7.1
131,Wagner Vieira,Administração,3º,8.5,1,9.1,2,,Sim,40,5.1
132,Wallace Lima,Economia,3º,4.3,,3.3,2,Não,Sim,25,
133,Wesley Nascimento,Administração,4º,9.8,5,24.0,4,Sim,Não,0,8.7
134,Aline Monteiro,Economia,4º,5.7,2,7.6,1,Não,Sim,20,6.8
135,Bruna Almeida,Economia,,5.9,0,2.0,2,Não,Sim,20,5.8
136,Danilo Pereira,Economia,3º,7.9,1,7.7,3,Sim,Sim,15,8.0
137,Eliane Costa,Administração,4º,6.9,,6.1,4,Não,Sim,10,8.3
138,Francisco Silva,Administração,4º,6.7,3,9.5,1,Não,Sim,10,6.9
139,Graziella Souza,Economia,4º,7.7,0,7.0,4,Não,Sim,,8.2
140,Humberto Santos,Administração,4º,8.1,0,8.2,3,,Não,0,7.2
141,Janaina Martins,Economia,3º,7.7,0,5.5,5,Sim,Não,80,4.0
142,Leandro Rodrigues,,3º,9.1,4,9.3,3,Não,Sim,30,7.4
143,Mônica Oliveira,Economia,4º,6.6,5,6.0,2,Sim,Sim,25,6.3
144,Norberto Ribeiro,Administração,3º,7.4,5,5.8,1,Não,Não,0,5.4
145,Renata Alves,Administração,3º,,11,2.1,4,Sim,Não,0,8.8
146,Sérgio Barbosa,Administração,4º,7.0,5,5.7,2,Não,,0,7.2
147,Thales Araújo,Economia,4º,7.1,45,7.1,5,Não,Não,0,5.5
148,Viviane Fernandes,,4º,4.8,6,1.6,3,,Sim,30,6.9
149,William Teixeira,Economia,3º,,4,7.3,3,,Não,0,7.3
150,Yuri Moreira,Economia,4º,7.8,6,3.4,4,Sim,Não,0,5.0
